"ensembl_gene_id"	"external_gene_id"	"description"
"1115"	"ENSMUSG00000029311"	"Hsd17b11"	"hydroxysteroid (17-beta) dehydrogenase 11 [Source:MGI Symbol;Acc:MGI:2149821]"
"1116"	"ENSMUSG00000029322"	"Plac8"	"placenta-specific 8 [Source:MGI Symbol;Acc:MGI:2445289]"
"1117"	"ENSMUSG00000029328"	"Hnrnpdl"	"heterogeneous nuclear ribonucleoprotein D-like [Source:MGI Symbol;Acc:MGI:1355299]"
"1118"	"ENSMUSG00000029389"	"Ddx55"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 55 [Source:MGI Symbol;Acc:MGI:1915098]"
"1119"	"ENSMUSG00000029404"	"Arl6ip4"	"ADP-ribosylation factor-like 6 interacting protein 4 [Source:MGI Symbol;Acc:MGI:1929500]"
"1120"	"ENSMUSG00000029405"	"G3bp2"	"GTPase activating protein (SH3 domain) binding protein 2 [Source:MGI Symbol;Acc:MGI:2442040]"
"1121"	"ENSMUSG00000029407"	"Uso1"	"USO1 vesicle docking factor [Source:MGI Symbol;Acc:MGI:1929095]"
"1122"	"ENSMUSG00000029415"	"Sdad1"	"SDA1 domain containing 1 [Source:MGI Symbol;Acc:MGI:2140779]"
"1123"	"ENSMUSG00000029422"	"Rsrc2"	"arginine/serine-rich coiled-coil 2 [Source:MGI Symbol;Acc:MGI:1913489]"
"1124"	"ENSMUSG00000029427"	"Zcchc8"	"zinc finger, CCHC domain containing 8 [Source:MGI Symbol;Acc:MGI:1917900]"
"1125"	"ENSMUSG00000029430"	"Ran"	"RAN, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1333112]"
"1126"	"ENSMUSG00000029440"	"Psmd9"	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 9 [Source:MGI Symbol;Acc:MGI:1914401]"
"1127"	"ENSMUSG00000029446"	"Psph"	"phosphoserine phosphatase [Source:MGI Symbol;Acc:MGI:97788]"
"1128"	"ENSMUSG00000029447"	"Cct6a"	"chaperonin containing Tcp1, subunit 6a (zeta) [Source:MGI Symbol;Acc:MGI:107943]"
"1129"	"ENSMUSG00000029461"	"Fam168a"	"family with sequence similarity 168, member A [Source:MGI Symbol;Acc:MGI:2442372]"
"1130"	"ENSMUSG00000029467"	"Atp2a2"	"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [Source:MGI Symbol;Acc:MGI:88110]"
"1131"	"ENSMUSG00000029475"	"Kdm2b"	"lysine (K)-specific demethylase 2B [Source:MGI Symbol;Acc:MGI:1354737]"
"1132"	"ENSMUSG00000029480"	"Dhx37"	"DEAH (Asp-Glu-Ala-His) box polypeptide 37 [Source:MGI Symbol;Acc:MGI:3028576]"
"1133"	"ENSMUSG00000029486"	"Mrpl1"	"mitochondrial ribosomal protein L1 [Source:MGI Symbol;Acc:MGI:2137202]"
"1134"	"ENSMUSG00000029504"	"Ddx51"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 51 [Source:MGI Symbol;Acc:MGI:1916913]"
"1135"	"ENSMUSG00000029507"	"Pus1"	"pseudouridine synthase 1 [Source:MGI Symbol;Acc:MGI:1929237]"
"1136"	"ENSMUSG00000029522"	"Pla2g1b"	"phospholipase A2, group IB, pancreas [Source:MGI Symbol;Acc:MGI:101842]"
"1137"	"ENSMUSG00000029538"	"Srsf9"	"serine/arginine-rich splicing factor 9 [Source:MGI Symbol;Acc:MGI:104896]"
"1138"	"ENSMUSG00000029552"	"Tes"	"testis derived transcript [Source:MGI Symbol;Acc:MGI:105081]"
"1139"	"ENSMUSG00000029557"	"Ftsj2"	"FtsJ homolog 2 (E. coli) [Source:MGI Symbol;Acc:MGI:1915267]"
"1140"	"ENSMUSG00000029559"	"2210016L21Rik"	"RIKEN cDNA 2210016L21 gene [Source:MGI Symbol;Acc:MGI:1919607]"
"1141"	"ENSMUSG00000029581"	"Fscn1"	"fascin homolog 1, actin bundling protein (Strongylocentrotus purpuratus) [Source:MGI Symbol;Acc:MGI:1352745]"
"1142"	"ENSMUSG00000029594"	"Rbm19"	"RNA binding motif protein 19 [Source:MGI Symbol;Acc:MGI:1921361]"
"1143"	"ENSMUSG00000029599"	"Ddx54"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 54 [Source:MGI Symbol;Acc:MGI:1919240]"
"1144"	"ENSMUSG00000029610"	"Aimp2"	"aminoacyl tRNA synthetase complex-interacting multifunctional protein 2 [Source:MGI Symbol;Acc:MGI:2385237]"
"1145"	"ENSMUSG00000029614"	"Rpl6"	"ribosomal protein L6 [Source:MGI Symbol;Acc:MGI:108057]"
"1146"	"ENSMUSG00000029616"	"Erp29"	"endoplasmic reticulum protein 29 [Source:MGI Symbol;Acc:MGI:1914647]"
"1147"	"ENSMUSG00000029622"	"Arpc1b"	"actin related protein 2/3 complex, subunit 1B [Source:MGI Symbol;Acc:MGI:1343142]"
"1148"	"ENSMUSG00000029623"	"Pdap1"	"PDGFA associated protein 1 [Source:MGI Symbol;Acc:MGI:2448536]"
"1149"	"ENSMUSG00000029624"	"Ptcd1"	"pentatricopeptide repeat domain 1 [Source:MGI Symbol;Acc:MGI:1919049]"
"1150"	"ENSMUSG00000029625"	"Cpsf4"	"cleavage and polyadenylation specific factor 4 [Source:MGI Symbol;Acc:MGI:1861602]"
"1151"	"ENSMUSG00000029647"	"Pan3"	"PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1919837]"
"1152"	"ENSMUSG00000029648"	"Flt1"	"FMS-like tyrosine kinase 1 [Source:MGI Symbol;Acc:MGI:95558]"
"1153"	"ENSMUSG00000029657"	"Hsph1"	"heat shock 105kDa/110kDa protein 1 [Source:MGI Symbol;Acc:MGI:105053]"
"1154"	"ENSMUSG00000029701"	"Rbm28"	"RNA binding motif protein 28 [Source:MGI Symbol;Acc:MGI:2655711]"
"1155"	"ENSMUSG00000029714"	"Gigyf1"	"GRB10 interacting GYF protein 1 [Source:MGI Symbol;Acc:MGI:1888677]"
"1156"	"ENSMUSG00000029715"	"Pop7"	"processing of precursor 7, ribonuclease P family, (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1921347]"
"1157"	"ENSMUSG00000029722"	"Agfg2"	"ArfGAP with FG repeats 2 [Source:MGI Symbol;Acc:MGI:2443267]"
"1158"	"ENSMUSG00000029726"	"Mepce"	"methylphosphate capping enzyme [Source:MGI Symbol;Acc:MGI:106477]"
"1159"	"ENSMUSG00000029730"	"Mcm7"	"minichromosome maintenance deficient 7 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1298398]"
"1160"	"ENSMUSG00000029761"	"Cald1"	"caldesmon 1 [Source:MGI Symbol;Acc:MGI:88250]"
"1161"	"ENSMUSG00000029777"	"Gars"	"glycyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2449057]"
"1162"	"ENSMUSG00000029814"	"Igf2bp3"	"insulin-like growth factor 2 mRNA binding protein 3 [Source:MGI Symbol;Acc:MGI:1890359]"
"1163"	"ENSMUSG00000029815"	"Malsu1"	"mitochondrial assembly of ribosomal large subunit 1 [Source:MGI Symbol;Acc:MGI:1922843]"
"1164"	"ENSMUSG00000029817"	"Tra2a"	"transformer 2 alpha homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:1933972]"
"1165"	"ENSMUSG00000029823"	"Luc7l2"	"LUC7-like 2 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2183260]"
"1166"	"ENSMUSG00000029826"	"Zc3hav1"	"zinc finger CCCH type, antiviral 1 [Source:MGI Symbol;Acc:MGI:1926031]"
"1167"	"ENSMUSG00000029860"	"Zyx"	"zyxin [Source:MGI Symbol;Acc:MGI:103072]"
"1168"	"ENSMUSG00000029869"	"Ephb6"	"Eph receptor B6 [Source:MGI Symbol;Acc:MGI:1096338]"
"1169"	"ENSMUSG00000029882"	"2210010C04Rik"	"RIKEN cDNA 2210010C04 gene [Source:MGI Symbol;Acc:MGI:1914623]"
"1170"	"ENSMUSG00000029911"	"Ssbp1"	"single-stranded DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1920040]"
"1171"	"ENSMUSG00000029920"	"Smarcad1"	"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1 [Source:MGI Symbol;Acc:MGI:95453]"
"1172"	"ENSMUSG00000029922"	"Mkrn1"	"makorin, ring finger protein, 1 [Source:MGI Symbol;Acc:MGI:1859353]"
"1173"	"ENSMUSG00000029992"	"Gfpt1"	"glutamine fructose-6-phosphate transaminase 1 [Source:MGI Symbol;Acc:MGI:95698]"
"1174"	"ENSMUSG00000029993"	"Nfu1"	"NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913290]"
"1175"	"ENSMUSG00000029998"	"Pcyox1"	"prenylcysteine oxidase 1 [Source:MGI Symbol;Acc:MGI:1914131]"
"1176"	"ENSMUSG00000030002"	"Dusp11"	"dual specificity phosphatase 11 (RNA/RNP complex 1-interacting) [Source:MGI Symbol;Acc:MGI:1919352]"
"1177"	"ENSMUSG00000030007"	"Cct7"	"chaperonin containing Tcp1, subunit 7 (eta) [Source:MGI Symbol;Acc:MGI:107184]"
"1178"	"ENSMUSG00000030016"	"Zfml"	"zinc finger, matrin-like [Source:MGI Symbol;Acc:MGI:1203484]"
"1179"	"ENSMUSG00000030036"	"Mogs"	"mannosyl-oligosaccharide glucosidase [Source:MGI Symbol;Acc:MGI:1929872]"
"1180"	"ENSMUSG00000030045"	"Mrpl19"	"mitochondrial ribosomal protein L19 [Source:MGI Symbol;Acc:MGI:1926274]"
"1181"	"ENSMUSG00000030056"	"Isy1"	"ISY1 splicing factor homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1923310]"
"1182"	"ENSMUSG00000030057"	"Cnbp"	"cellular nucleic acid binding protein [Source:MGI Symbol;Acc:MGI:88431]"
"1183"	"ENSMUSG00000030058"	"Copg1"	"coatomer protein complex, subunit gamma 1 [Source:MGI Symbol;Acc:MGI:1858696]"
"1184"	"ENSMUSG00000030059"	"Tmf1"	"TATA element modulatory factor 1 [Source:MGI Symbol;Acc:MGI:2684999]"
"1185"	"ENSMUSG00000030060"	"Hmces"	"5-hydroxymethylcytosine (hmC) binding, ES cell specific [Source:MGI Symbol;Acc:MGI:1914053]"
"1186"	"ENSMUSG00000030062"	"Rpn1"	"ribophorin I [Source:MGI Symbol;Acc:MGI:98084]"
"1187"	"ENSMUSG00000030079"	"Ruvbl1"	"RuvB-like protein 1 [Source:MGI Symbol;Acc:MGI:1928760]"
"1188"	"ENSMUSG00000030082"	"Sec61a1"	"Sec61 alpha 1 subunit (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1858417]"
"1189"	"ENSMUSG00000030111"	"A2m"	"alpha-2-macroglobulin [Source:MGI Symbol;Acc:MGI:2449119]"
"1190"	"ENSMUSG00000030122"	"Ptms"	"parathymosin [Source:MGI Symbol;Acc:MGI:1916452]"
"1191"	"ENSMUSG00000030131"	"Mug2"	"murinoglobulin 2 [Source:MGI Symbol;Acc:MGI:99836]"
"1192"	"ENSMUSG00000030138"	"Bms1"	"BMS1 homolog, ribosome assembly protein (yeast) [Source:MGI Symbol;Acc:MGI:2446132]"
"1193"	"ENSMUSG00000030188"	"Magohb"	"mago-nashi homolog B (Drosophila) [Source:MGI Symbol;Acc:MGI:1913691]"
"1194"	"ENSMUSG00000030189"	"Ybx3"	"Y box protein 3 [Source:MGI Symbol;Acc:MGI:2137670]"
"1195"	"ENSMUSG00000030204"	"Ddx47"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 47 [Source:MGI Symbol;Acc:MGI:1915005]"
"1196"	"ENSMUSG00000030216"	"Wbp11"	"WW domain binding protein 11 [Source:MGI Symbol;Acc:MGI:1891823]"
"1197"	"ENSMUSG00000030224"	"Strap"	"serine/threonine kinase receptor associated protein [Source:MGI Symbol;Acc:MGI:1329037]"
"1198"	"ENSMUSG00000030245"	"Golt1b"	"golgi transport 1 homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914214]"
"1199"	"ENSMUSG00000030246"	"Ldhb"	"lactate dehydrogenase B [Source:MGI Symbol;Acc:MGI:96763]"
"1200"	"ENSMUSG00000030264"	"Thumpd3"	"THUMP domain containing 3 [Source:MGI Symbol;Acc:MGI:1277973]"
"1201"	"ENSMUSG00000030309"	"Caprin2"	"caprin family member 2 [Source:MGI Symbol;Acc:MGI:2448541]"
"1202"	"ENSMUSG00000030346"	"Rad51ap1"	"RAD51 associated protein 1 [Source:MGI Symbol;Acc:MGI:1098224]"
"1203"	"ENSMUSG00000030357"	"Fkbp4"	"FK506 binding protein 4 [Source:MGI Symbol;Acc:MGI:95543]"
"1204"	"ENSMUSG00000030403"	"Vasp"	"vasodilator-stimulated phosphoprotein [Source:MGI Symbol;Acc:MGI:109268]"
"1205"	"ENSMUSG00000030411"	"Nova2"	"neuro-oncological ventral antigen 2 [Source:MGI Symbol;Acc:MGI:104296]"
"1206"	"ENSMUSG00000030417"	"Pdcd5"	"programmed cell death 5 [Source:MGI Symbol;Acc:MGI:1913538]"
"1207"	"ENSMUSG00000030432"	"Rpl28"	"ribosomal protein L28 [Source:MGI Symbol;Acc:MGI:101839]"
"1208"	"ENSMUSG00000030435"	"U2af2"	"U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 2 [Source:MGI Symbol;Acc:MGI:98886]"
"1209"	"ENSMUSG00000030498"	"Gas2"	"growth arrest specific 2 [Source:MGI Symbol;Acc:MGI:95657]"
"1210"	"ENSMUSG00000030512"	"Snrpa1"	"small nuclear ribonucleoprotein polypeptide A' [Source:MGI Symbol;Acc:MGI:1916231]"
"1211"	"ENSMUSG00000030521"	"Mphosph10"	"M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein) [Source:MGI Symbol;Acc:MGI:1915223]"
"1212"	"ENSMUSG00000030528"	"Blm"	"Bloom syndrome, RecQ helicase-like [Source:MGI Symbol;Acc:MGI:1328362]"
"1213"	"ENSMUSG00000030541"	"Idh2"	"isocitrate dehydrogenase 2 (NADP+), mitochondrial [Source:MGI Symbol;Acc:MGI:96414]"
"1214"	"ENSMUSG00000030602"	"Pak4"	"p21 protein (Cdc42/Rac)-activated kinase 4 [Source:MGI Symbol;Acc:MGI:1917834]"
"1215"	"ENSMUSG00000030609"	"Aen"	"apoptosis enhancing nuclease [Source:MGI Symbol;Acc:MGI:1915298]"
"1216"	"ENSMUSG00000030611"	"Mrps11"	"mitochondrial ribosomal protein S11 [Source:MGI Symbol;Acc:MGI:1915244]"
"1217"	"ENSMUSG00000030619"	"Eed"	"embryonic ectoderm development [Source:MGI Symbol;Acc:MGI:95286]"
"1218"	"ENSMUSG00000030654"	"Arl6ip1"	"ADP-ribosylation factor-like 6 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1858943]"
"1219"	"ENSMUSG00000030662"	"Ipo5"	"importin 5 [Source:MGI Symbol;Acc:MGI:1917822]"
"1220"	"ENSMUSG00000030677"	"Kif22"	"kinesin family member 22 [Source:MGI Symbol;Acc:MGI:109233]"
"1221"	"ENSMUSG00000030678"	"Maz"	"MYC-associated zinc finger protein (purine-binding transcription factor) [Source:MGI Symbol;Acc:MGI:1338823]"
"1222"	"ENSMUSG00000030688"	"Stard10"	"START domain containing 10 [Source:MGI Symbol;Acc:MGI:1860093]"
"1223"	"ENSMUSG00000030695"	"Aldoa"	"aldolase A, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:87994]"
"1224"	"ENSMUSG00000030706"	"Mrpl48"	"mitochondrial ribosomal protein L48 [Source:MGI Symbol;Acc:MGI:1289321]"
"1225"	"ENSMUSG00000030707"	"Coro1a"	"coronin, actin binding protein 1A [Source:MGI Symbol;Acc:MGI:1345961]"
"1226"	"ENSMUSG00000030720"	"Cln3"	"ceroid lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease) [Source:MGI Symbol;Acc:MGI:107537]"
"1227"	"ENSMUSG00000030722"	"Nfatc2ip"	"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2 interacting protein [Source:MGI Symbol;Acc:MGI:1329015]"
"1228"	"ENSMUSG00000030735"	"Gm9755"	"predicted pseudogene 9755 [Source:MGI Symbol;Acc:MGI:3642279]"
"1229"	"ENSMUSG00000030738"	"Eif3c"	"eukaryotic translation initiation factor 3, subunit C [Source:MGI Symbol;Acc:MGI:1926966]"
"1230"	"ENSMUSG00000030744"	"Rps3"	"ribosomal protein S3 [Source:MGI Symbol;Acc:MGI:1350917]"
"1231"	"ENSMUSG00000030770"	"Parva"	"parvin, alpha [Source:MGI Symbol;Acc:MGI:1931144]"
"1232"	"ENSMUSG00000030779"	"Rbbp6"	"retinoblastoma binding protein 6 [Source:MGI Symbol;Acc:MGI:894835]"
"1233"	"ENSMUSG00000030795"	"Fus"	"fused in sarcoma [Source:MGI Symbol;Acc:MGI:1353633]"
"1234"	"ENSMUSG00000030824"	"Nucb1"	"nucleobindin 1 [Source:MGI Symbol;Acc:MGI:97388]"
"1235"	"ENSMUSG00000030835"	"Nomo1"	"nodal modulator 1 [Source:MGI Symbol;Acc:MGI:2385850]"
"1236"	"ENSMUSG00000030846"	"Tial1"	"Tia1 cytotoxic granule-associated RNA binding protein-like 1 [Source:MGI Symbol;Acc:MGI:107913]"
"1237"	"ENSMUSG00000030847"	"Bag3"	"BCL2-associated athanogene 3 [Source:MGI Symbol;Acc:MGI:1352493]"
"1238"	"ENSMUSG00000030870"	"Ubfd1"	"ubiquitin family domain containing 1 [Source:MGI Symbol;Acc:MGI:107301]"
"1239"	"ENSMUSG00000030879"	"Mrpl17"	"mitochondrial ribosomal protein L17 [Source:MGI Symbol;Acc:MGI:1351608]"
"1240"	"ENSMUSG00000030881"	"Arfip2"	"ADP-ribosylation factor interacting protein 2 [Source:MGI Symbol;Acc:MGI:1924182]"
"1241"	"ENSMUSG00000030888"	"Rrp8"	"ribosomal RNA processing 8, methyltransferase, homolog (yeast) [Source:MGI Symbol;Acc:MGI:1914251]"
"1242"	"ENSMUSG00000030942"	"Thumpd1"	"THUMP domain containing 1 [Source:MGI Symbol;Acc:MGI:2444479]"
"1243"	"ENSMUSG00000030980"	"Knop1"	"lysine rich nucleolar protein 1 [Source:MGI Symbol;Acc:MGI:1913606]"
"1244"	"ENSMUSG00000030983"	"Bccip"	"BRCA2 and CDKN1A interacting protein [Source:MGI Symbol;Acc:MGI:1913415]"
"1245"	"ENSMUSG00000031004"	"Mki67"	"antigen identified by monoclonal antibody Ki 67 [Source:MGI Symbol;Acc:MGI:106035]"
"1246"	"ENSMUSG00000031010"	"Usp9x"	"ubiquitin specific peptidase 9, X chromosome [Source:MGI Symbol;Acc:MGI:894681]"
"1247"	"ENSMUSG00000031012"	"Cask"	"calcium/calmodulin-dependent serine protein kinase (MAGUK family) [Source:MGI Symbol;Acc:MGI:1309489]"
"1248"	"ENSMUSG00000031060"	"Rbm10"	"RNA binding motif protein 10 [Source:MGI Symbol;Acc:MGI:2384310]"
"1249"	"ENSMUSG00000031068"	"Glrx3"	"glutaredoxin 3 [Source:MGI Symbol;Acc:MGI:1353653]"
"1250"	"ENSMUSG00000031078"	"Cttn"	"cortactin [Source:MGI Symbol;Acc:MGI:99695]"
"1251"	"ENSMUSG00000031095"	"Cul4b"	"cullin 4B [Source:MGI Symbol;Acc:MGI:1919834]"
"1252"	"ENSMUSG00000031099"	"Smarca1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:MGI Symbol;Acc:MGI:1935127]"
"1253"	"ENSMUSG00000031107"	"Rbmx2"	"RNA binding motif protein, X-linked 2 [Source:MGI Symbol;Acc:MGI:1919414]"
"1254"	"ENSMUSG00000031134"	"Rbmx"	"RNA binding motif protein, X chromosome [Source:MGI Symbol;Acc:MGI:1343044]"
"1255"	"ENSMUSG00000031157"	"Pqbp1"	"polyglutamine binding protein 1 [Source:MGI Symbol;Acc:MGI:1859638]"
"1256"	"ENSMUSG00000031161"	"Hdac6"	"histone deacetylase 6 [Source:MGI Symbol;Acc:MGI:1333752]"
"1257"	"ENSMUSG00000031167"	"Rbm3"	"RNA binding motif protein 3 [Source:MGI Symbol;Acc:MGI:1099460]"
"1258"	"ENSMUSG00000031168"	"Ebp"	"phenylalkylamine Ca2+ antagonist (emopamil) binding protein [Source:MGI Symbol;Acc:MGI:107822]"
"1259"	"ENSMUSG00000031174"	"Rpgr"	"retinitis pigmentosa GTPase regulator [Source:MGI Symbol;Acc:MGI:1344037]"
"1260"	"ENSMUSG00000031207"	"Msn"	"moesin [Source:MGI Symbol;Acc:MGI:97167]"
"1261"	"ENSMUSG00000031233"	"Pgk2"	"phosphoglycerate kinase 2 [Source:MGI Symbol;Acc:MGI:97563]"
"1262"	"ENSMUSG00000031245"	"Hmgn5"	"high-mobility group nucleosome binding domain 5 [Source:MGI Symbol;Acc:MGI:1355295]"
"1263"	"ENSMUSG00000031256"	"Cstf2"	"cleavage stimulation factor, 3' pre-RNA subunit 2 [Source:MGI Symbol;Acc:MGI:1343054]"
"1264"	"ENSMUSG00000031278"	"Acsl4"	"acyl-CoA synthetase long-chain family member 4 [Source:MGI Symbol;Acc:MGI:1354713]"
"1265"	"ENSMUSG00000031311"	"Nono"	"non-POU-domain-containing, octamer binding protein [Source:MGI Symbol;Acc:MGI:1855692]"
"1266"	"ENSMUSG00000031320"	"Rps4x"	"ribosomal protein S4, X-linked [Source:MGI Symbol;Acc:MGI:98158]"
"1267"	"ENSMUSG00000031328"	"Flna"	"filamin, alpha [Source:MGI Symbol;Acc:MGI:95556]"
"1268"	"ENSMUSG00000031357"	"Syap1"	"synapse associated protein 1 [Source:MGI Symbol;Acc:MGI:1914293]"
"1269"	"ENSMUSG00000031383"	"Dusp9"	"dual specificity phosphatase 9 [Source:MGI Symbol;Acc:MGI:2387107]"
"1270"	"ENSMUSG00000031386"	"Hcfc1"	"host cell factor C1 [Source:MGI Symbol;Acc:MGI:105942]"
"1271"	"ENSMUSG00000031391"	"L1cam"	"L1 cell adhesion molecule [Source:MGI Symbol;Acc:MGI:96721]"
"1272"	"ENSMUSG00000031393"	"Mecp2"	"methyl CpG binding protein 2 [Source:MGI Symbol;Acc:MGI:99918]"
"1273"	"ENSMUSG00000031397"	"Tktl1"	"transketolase-like 1 [Source:MGI Symbol;Acc:MGI:1933244]"
"1274"	"ENSMUSG00000031400"	"G6pdx"	"glucose-6-phosphate dehydrogenase X-linked [Source:MGI Symbol;Acc:MGI:105979]"
"1275"	"ENSMUSG00000031403"	"Dkc1"	"dyskeratosis congenita 1, dyskerin [Source:MGI Symbol;Acc:MGI:1861727]"
"1276"	"ENSMUSG00000031485"	"Prosc"	"proline synthetase co-transcribed [Source:MGI Symbol;Acc:MGI:1891207]"
"1277"	"ENSMUSG00000031527"	"Eri1"	"exoribonuclease 1 [Source:MGI Symbol;Acc:MGI:1914526]"
"1278"	"ENSMUSG00000031533"	"Mrps31"	"mitochondrial ribosomal protein S31 [Source:MGI Symbol;Acc:MGI:1913153]"
"1279"	"ENSMUSG00000031568"	"Rwdd4a"	"RWD domain containing 4A [Source:MGI Symbol;Acc:MGI:2681000]"
"1280"	"ENSMUSG00000031578"	"Mak16"	"MAK16 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915170]"
"1281"	"ENSMUSG00000031583"	"Wrn"	"Werner syndrome homolog (human) [Source:MGI Symbol;Acc:MGI:109635]"
"1282"	"ENSMUSG00000031584"	"Gsr"	"glutathione reductase [Source:MGI Symbol;Acc:MGI:95804]"
"1283"	"ENSMUSG00000031585"	"Gtf2e2"	"general transcription factor II E, polypeptide 2 (beta subunit) [Source:MGI Symbol;Acc:MGI:1915403]"
"1284"	"ENSMUSG00000031586"	"Rbpms"	"RNA binding protein gene with multiple splicing [Source:MGI Symbol;Acc:MGI:1334446]"
"1285"	"ENSMUSG00000031590"	"Frg1"	"FSHD region gene 1 [Source:MGI Symbol;Acc:MGI:893597]"
"1286"	"ENSMUSG00000031626"	"Sorbs2"	"sorbin and SH3 domain containing 2 [Source:MGI Symbol;Acc:MGI:1924574]"
"1287"	"ENSMUSG00000031657"	"Heatr3"	"HEAT repeat containing 3 [Source:MGI Symbol;Acc:MGI:2444491]"
"1288"	"ENSMUSG00000031672"	"Got2"	"glutamate oxaloacetate transaminase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:95792]"
"1289"	"ENSMUSG00000031683"	"Lsm6"	"LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1925901]"
"1290"	"ENSMUSG00000031691"	"Tnpo2"	"transportin 2 (importin 3, karyopherin beta 2b) [Source:MGI Symbol;Acc:MGI:2384849]"
"1291"	"ENSMUSG00000031701"	"Dnaja2"	"DnaJ (Hsp40) homolog, subfamily A, member 2 [Source:MGI Symbol;Acc:MGI:1931882]"
"1292"	"ENSMUSG00000031708"	"Tecr"	"trans-2,3-enoyl-CoA reductase [Source:MGI Symbol;Acc:MGI:1915408]"
"1293"	"ENSMUSG00000031715"	"Smarca5"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:MGI Symbol;Acc:MGI:1935129]"
"1294"	"ENSMUSG00000031754"	"Nudt21"	"nudix (nucleoside diphosphate linked moiety X)-type motif 21 [Source:MGI Symbol;Acc:MGI:1915469]"
"1295"	"ENSMUSG00000031772"	"Cntnap4"	"contactin associated protein-like 4 [Source:MGI Symbol;Acc:MGI:2183572]"
"1296"	"ENSMUSG00000031781"	"Ciapin1"	"cytokine induced apoptosis inhibitor 1 [Source:MGI Symbol;Acc:MGI:1922083]"
"1297"	"ENSMUSG00000031792"	"Usb1"	"U6 snRNA biogenesis 1 [Source:MGI Symbol;Acc:MGI:2142454]"
"1298"	"ENSMUSG00000031796"	"Gtl3"	"gene trap locus 3 [Source:MGI Symbol;Acc:MGI:107428]"
"1299"	"ENSMUSG00000031816"	"Mthfsd"	"methenyltetrahydrofolate synthetase domain containing [Source:MGI Symbol;Acc:MGI:2679252]"
"1300"	"ENSMUSG00000031818"	"Cox4i1"	"cytochrome c oxidase subunit IV isoform 1 [Source:MGI Symbol;Acc:MGI:88473]"
"1301"	"ENSMUSG00000031826"	"Usp10"	"ubiquitin specific peptidase 10 [Source:MGI Symbol;Acc:MGI:894652]"
"1302"	"ENSMUSG00000031827"	"Cotl1"	"coactosin-like 1 (Dictyostelium) [Source:MGI Symbol;Acc:MGI:1919292]"
"1303"	"ENSMUSG00000031843"	"Mphosph6"	"M phase phosphoprotein 6 [Source:MGI Symbol;Acc:MGI:1915783]"
"1304"	"ENSMUSG00000031848"	"Lsm4"	"LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1354692]"
"1305"	"ENSMUSG00000031851"	"Ntpcr"	"nucleoside-triphosphatase, cancer-related [Source:MGI Symbol;Acc:MGI:1913816]"
"1306"	"ENSMUSG00000031862"	"Atp13a1"	"ATPase type 13A1 [Source:MGI Symbol;Acc:MGI:2180801]"
"1307"	"ENSMUSG00000031917"	"Nip7"	"nuclear import 7 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913414]"
"1308"	"ENSMUSG00000031924"	"Cyb5b"	"cytochrome b5 type B [Source:MGI Symbol;Acc:MGI:1913677]"
"1309"	"ENSMUSG00000031948"	"Kars"	"lysyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1934754]"
"1310"	"ENSMUSG00000031950"	"Gabarapl2"	"gamma-aminobutyric acid (GABA) A receptor-associated protein-like 2 [Source:MGI Symbol;Acc:MGI:1890602]"
